img_name,mask_name,img_shape_0,img_shape_1,mask_shape_0,mask_shape_1,ratio,convex_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std
88.JPG,binary_88.tif,4000,6000,4000,6000,11.0400975,7.957325373738231e-07,0,176,39.15233555455466,25.0,36.03608649438299,0,210,39.04691608248931,31.0,34.50137443299979,5,249,90.54806037718417,88.0,57.640511447935644
89.JPG,binary_89.tif,4000,6000,4000,6000,5.0587325,1.6880761818804294e-06,0,193,65.46795738853557,51.0,50.652295073106345,0,184,70.09355283166288,69.0,51.06557496605097,0,200,81.51463298859942,91.0,54.26400797878663
90.JPG,binary_90.tif,4000,6000,4000,6000,5.0300025,1.6072270168034635e-06,0,255,57.07836725727274,45.0,44.602700205003934,1,255,59.108829096009394,50.0,42.399479161627994,1,255,81.16849171546137,74.0,49.59129829258736
91.JPG,binary_91.tif,4000,6000,4000,6000,10.0605575,9.149898643363575e-07,0,255,55.7479965697726,41.0,50.37184084880473,0,255,71.18484257706395,55.0,57.53409804531566,3,255,89.4987675260541,80.0,64.29633802438006
92.JPG,binary_92.tif,4000,6000,4000,6000,8.68094375,8.666623811960158e-07,0,255,71.70087634480986,62.0,57.075468764059096,2,215,68.28644480618827,66.0,48.60526503889549,2,230,81.0776030255927,84.0,53.409697245301096
93.JPG,binary_93.tif,4000,6000,4000,6000,9.892895,9.81062040158268e-07,0,255,42.42026171307792,30.0,40.30506630148734,0,218,56.114034428243706,45.0,44.06745153207635,1,236,75.54917430640879,68.0,51.240017745944904
94.JPG,binary_94.tif,4000,6000,4000,6000,10.2875925,6.43999675903999e-07,0,255,44.77779877799398,37.0,38.59714770491172,0,255,83.50684331635414,68.0,61.6946069417265,3,255,96.504565997827,92.0,61.53062994815627
95.JPG,binary_95.tif,4000,6000,4000,6000,7.3712425,1.231137106954978e-06,0,255,31.641768670614216,21.0,31.17620335523289,0,255,54.98213657670332,38.0,50.52922798857918,0,255,71.71341695446867,55.0,62.06717409062754
96.JPG,binary_96.tif,4000,6000,4000,6000,9.3109425,1.025311909136592e-06,0,255,64.019556693643,53.0,50.846824559479096,2,255,87.9574906084964,90.0,56.502852667666865,2,255,105.84271684901931,107.0,64.73697664056229
97.JPG,binary_97.tif,4000,6000,4000,6000,9.85473,9.482089177972651e-07,0,255,70.2089996377374,49.0,65.63988891007811,0,255,81.1874935310252,66.0,66.11335605476242,3,255,100.59977207645466,93.0,71.1289928934385
98.JPG,binary_98.tif,4000,6000,4000,6000,6.7373975,1.139938411967533e-06,0,196,40.645426331161254,14.0,45.36482638558493,0,170,49.71052722880014,21.0,51.0711290980852,0,174,53.36859809370013,29.0,50.0597273037601
99.JPG,binary_99.tif,4000,6000,4000,6000,9.2721825,9.781909873811278e-07,0,255,34.32901787146662,21.0,32.72125957511559,0,255,44.70160288583621,31.0,37.34834650680289,0,255,60.03841173585615,53.0,44.533548857686455
100.JPG,binary_100.tif,4000,6000,4000,6000,6.46187,1.3016259720846317e-06,0,255,43.055350753729186,22.0,44.3313830106659,1,255,48.67015962484544,27.0,46.36411961900147,1,255,57.150882310383835,35.0,51.68615609291158
101.JPG,binary_101.tif,4000,6000,4000,6000,6.5571975,1.2278545166484595e-06,0,255,56.632629450310134,40.0,51.07557512996772,0,255,64.67220342608256,53.0,52.89373196272036,0,255,79.70279900445274,75.0,58.749182583365155
102.JPG,binary_102.tif,4000,6000,4000,6000,6.7968125,1.2037031126817354e-06,0,255,50.024087853681415,30.0,52.49578259827528,0,255,56.02605127403471,38.0,52.410673627679216,0,255,68.93065812099421,52.0,60.17033040059961
103.JPG,binary_103.tif,4000,6000,4000,6000,7.1974175,1.156313119907584e-06,0,255,58.255952134915056,45.0,50.06910933359936,1,255,66.790238912082,59.0,52.096450959956506,0,255,81.31879203547662,83.0,59.19534254199195
104.JPG,binary_104.tif,4000,6000,4000,6000,6.3564275,1.1974197353948009e-06,0,249,60.49168744943602,40.0,56.42238608004767,1,240,70.00845463115877,44.0,62.867982007312726,2,250,76.42868389909269,57.0,62.1324429509921
105.JPG,binary_105.tif,4000,6000,4000,6000,6.0462625,1.6209096945167371e-06,0,255,53.9687800934875,31.0,57.55921620406462,0,255,61.102969809861875,42.0,57.11019665722768,3,255,80.15438618071909,66.0,61.540598009130775
106.JPG,binary_106.tif,4000,6000,4000,6000,8.0476725,9.684815400310284e-07,0,255,40.52337119831852,36.0,30.689199803655633,0,255,51.90527416467308,48.0,37.106123036398074,0,255,68.10974772519633,65.0,45.03107665558895
107.JPG,binary_107.tif,4000,6000,4000,6000,5.517945,1.4988794821799535e-06,0,255,64.08316581172882,59.0,39.567561792791636,0,255,83.63727914105704,83.0,52.28753962568955,6,255,108.29329181878398,110.0,59.5003464282658
108.JPG,binary_108.tif,4000,6000,4000,6000,3.9031575,2.265587534245108e-06,0,255,52.619431831792596,41.0,43.66181756538147,0,255,54.89458726684742,47.0,39.86674625630141,1,255,71.41703143544682,70.0,45.57685407761529
109.JPG,binary_109.tif,4000,6000,4000,6000,8.325665,6.933526031152151e-07,0,255,46.88347634993721,43.0,35.73944444556945,0,209,65.75769915976682,56.0,48.814020867541814,3,220,81.8713922551532,81.0,50.862524895456765
110.JPG,binary_110.tif,4000,6000,4000,6000,5.530695,1.5494234064220288e-06,0,233,37.59503857562205,32.0,29.485109642262813,2,227,64.10663047320455,68.0,40.82381741221567,3,245,73.23347280495489,74.0,45.70299874990875
111.JPG,binary_111.tif,4000,6000,4000,6000,5.530525,1.5406859083531044e-06,0,255,57.728217935910244,40.0,51.09289777810475,1,255,64.80999577345732,49.0,52.97788769433801,2,255,76.99542957042956,68.0,55.974491364225216
112.JPG,binary_112.tif,4000,6000,4000,6000,11.3115875,8.46175155498352e-07,0,255,57.842309932182374,45.0,54.86500518137295,0,255,57.91564783678683,47.0,51.99952187417639,0,255,73.91542804005185,63.0,59.90428842940012
113.JPG,binary_113.tif,4000,6000,4000,6000,7.34332,1.2772857677310978e-06,0,255,40.955591952958606,15.0,50.84805030270703,0,255,46.62733239188814,17.0,53.533163470563885,0,255,56.54241422816928,28.0,58.17161216692459
114.JPG,binary_114.tif,4000,6000,4000,6000,4.72549,1.7214012647177985e-06,0,255,41.47479719034428,23.0,41.18359986525607,0,255,48.01742094470627,29.0,43.60346811548293,1,255,59.9264219160341,40.0,50.24056610247846
115.JPG,binary_115.tif,4000,6000,4000,6000,3.71756,2.6710910088941124e-06,0,255,28.610703996707517,15.0,36.44290499427943,0,255,35.063826138650086,19.0,35.56704647731119,0,255,48.25757385220413,27.0,46.34631385495757
116.JPG,binary_116.tif,4000,6000,4000,6000,7.391855,1.268706256011968e-06,0,255,23.378694099789566,14.0,29.635938111769455,0,255,34.127051159688605,18.0,36.92559199896569,0,255,44.072200246081664,29.0,41.98977782090206
117.JPG,binary_117.tif,4000,6000,4000,6000,9.0359675,9.805646268775585e-07,0,255,44.20790551758846,35.0,37.77769459133865,0,255,63.969751094722284,57.0,49.201628088260875,0,255,79.33237697014737,75.0,55.04209463970868
118.JPG,binary_118.tif,4000,6000,4000,6000,9.500535,8.488884177503192e-07,0,255,43.70528468923066,19.0,46.87815091744344,0,244,43.72872882948171,19.0,45.573749576652745,0,255,51.736603188662535,30.0,50.030491788653094
